Заболели;Умерли;Вылечились;Активные случаи
США;44455949;714055;0;-1
Индия;33985920;450963;0;33534957
Бразилия;21582738;601213;0;20981525
Великобритания;8205741;137863;0;-1
Россия;7832964;218345;6894285;720334
Турция;7475085;66368;0;7408717
Франция;6905651;114995;0;-1
Иран;5716394;122868;0;5593526
Аргентина;5266275;115491;0;5150784
Испания;4977448;86827;0;-1
Колумбия;4973325;126655;0;4846670
Италия;4701832;131335;0;4570497
Германия;4323346;94308;0;4229038
Индонезия;4228552;142716;0;4085836
Мексика;3725242;282227;0;3443015
Польша;2923304;75869;0;2847435
ЮАР;2912346;88346;0;2824000
Филиппины;2674814;39660;0;2635154
Украина;2667304;62550;0;2604754
Малайзия;2346303;27422;0;2318881
Перу;2184676;199703;0;1984973
Нидерланды;2028659;18228;0;-1
Ирак;2024705;22591;0;2002114
Таиланд;1720919;17751;0;1703168
Япония;1712127;17972;0;1694155
Чехия;1700078;30504;0;1669574
Канада;1668009;28264;0;1639745
Чили;1663383;37571;0;1625812
Бангладеш;1562958;27699;0;1535259
Румыния;1365788;39629;0;1326159
Израиль;1307870;7940;0;1299930
Бельгия;1266562;25695;0;-1
Пакистан;1259648;28152;0;1231496
Швеция;1157822;14905;0;-1
Португалия;1075639;18048;0;1057591
Сербия;1010868;8788;0;-1
Казахстан;984398;16473;0;967925
Марокко;939356;14474;0;924882
Куба;921328;7891;0;913437
Швейцария;850684;11133;0;839551
Вьетнам;843281;20670;0;822611
Иордания;834778;10818;0;823960
Венгрия;829456;30303;0;799153
Непал;802861;11243;0;791618
Австрия;762538;11106;0;751432
ОАЭ;737890;2114;0;735776
Тунис;709866;25039;0;684827
Греция;679157;15177;0;663980
Грузия;635583;9269;0;626314
Ливан;630382;8389;0;621993
Гватемала;579774;14066;0;565708
Белоруссия;559715;4304;0;555411
Саудовская Аравия;547649;8748;0;538901
Коста-Рика;546595;6698;0;539897
Шри-Ланка;527064;13354;0;513710
Болгария;524333;21813;0;502520
Эквадор;512044;32848;0;479196
Боливия;504121;18803;0;485318
Азербайджан;492790;6677;0;486113
Мьянма ;479848;18162;0;461686
Панама;469190;7271;0;461919
Парагвай;460218;16207;0;444011
Палестинские территории;443766;4504;0;439262
Словакия;425971;12735;0;413236
Хорватия;418028;8778;0;409250
Кувейт;412121;2455;0;409666
Ирландия;404514;5280;0;399234
Уругвай;390115;6064;0;384051
Венесуэла;384668;4634;0;380034
Гондурас;370262;10009;0;360253
Доминиканская Республика;366191;4067;0;362124
Дания;364464;2671;0;361793
Эфиопия;355001;6026;0;348975
Литва;353289;5248;0;348041
Ливия;346813;4792;0;342021
Южная Корея;334163;2594;0;331569
Монголия;326738;1450;0;325288
Египет;313259;17726;0;295533
Молдова;307182;7048;0;300134
Оман;303978;4102;0;299876
Словения;301644;4617;0;297027
Бахрейн;275734;1390;0;274344
Армения;272957;5575;0;267382
Кения;251248;5190;0;246058
Босния и Герцеговина;241227;10965;0;230262
Катар;237483;607;0;236876
Замбия;209353;3654;0;205699
Нигерия;207978;2756;0;205222
Алжир;204695;5855;0;198840
Северная Македония;195002;6849;0;188153
Норвегия;193734;871;0;192863
Ботсвана;181251;2381;0;178870
Киргизия;179338;2620;0;176718
Узбекистан;178637;1271;0;177366
Албания;175163;2777;0;172386
Латвия;172278;2806;0;169472
Эстония;165345;1400;0;163945
Косово;160400;2972;0;157428
Афганистан;155540;7228;0;148312
Мозамбик;150991;1924;0;149067
Финляндия;147297;1100;0;146197
Черногория;135533;1992;0;133541
Зимбабве;131875;4643;0;127232
Австралия;131415;1461;0;129954
Сингапур;129229;172;0;129057
Гана;128368;1158;0;127210
Намибия;128129;3527;0;124602
Уганда;124736;3177;0;121559
Кипр;121364;560;0;120804
Камбоджа;115068;2527;0;112541
Китай;108780;4849;0;103931
Сальвадор;107664;3392;0;104272
Руанда;98745;1308;0;97437
Камерун;95399;1517;0;93882
Ямайка;86384;2025;0;84359
Мальдивы;85622;234;0;85388
Люксембург;79196;837;0;78359
Сенегал;73841;1868;0;71973
Малави;61679;2290;0;59389
Ангола;61580;1629;0;59951
Кот-д’Ивуар;60829;669;0;60160
Конго - Киншаса;57247;1087;0;56160
Реюньон;53963;369;0;53594
Гваделупа;53544;785;0;52759
Тринидад и Тобаго;52847;1555;0;51292
Фиджи;51535;653;0;50882
Эсватини;46284;1229;0;45055
Французская Полинезия;45359;629;0;44730
Суринам;44306;968;0;43338
Мадагаскар;43610;960;0;42650
Французская Гвиана;42157;281;0;41876
Мартиника;41846;645;0;41201
Судан;38827;2953;0;35874
Кабо-Верде;37902;346;0;37556
Мальта;37358;459;0;36899
Сирия;37229;2348;0;34881
Мавритания;36432;785;0;35647
Гайана;33748;842;0;32906
Габон;32576;205;0;32371
Гвинея;30523;383;0;30140
Лаос;28849;30;0;28819
Танзания;25957;723;0;25234
Того;25788;236;0;25552
Бенин;24335;159;0;24176
Папуа — Новая Гвинея;23026;245;0;22781
Гаити;22614;643;0;21971
Белиз;22187;427;0;21760
Сейшельские Острова;21769;118;0;21651
Багамы;21580;590;0;20990
Лесото;21460;652;0;20808
Сомали;21269;1180;0;20089
Восточный Тимор;19675;119;0;19556
Бурунди;19257;38;0;19219
Таджикистан;17484;125;0;17359
Кюрасао;16804;168;0;16636
Тайвань;16305;846;0;15459
Маврикий;16291;110;0;16181
Аруба;15645;170;0;15475
Мали;15490;553;0;14937
Андорра;15307;130;0;15177
Никарагуа;15134;205;0;14929
Конго - Браззавиль;14833;206;0;14627
Буркина-Фасо;14516;195;0;14321
Джибути;13229;177;0;13052
Экваториальная Гвинея;12786;155;0;12631
Исландия;12243;33;0;12210
Южный Судан;12114;130;0;11984
Сент-Люсия;12017;224;0;11793
ЦАР;11401;100;0;11301
Барбадос;11132;98;0;11034
Гамбия;9941;339;0;9602
Йемен;9402;1782;0;7620
Новая Каледония;9186;201;0;8985
Бруней-Даруссалам;9167;64;0;9103
о-в Мэн;8121;54;0;8067
Эритрея;6755;43;0;6712
Сьерра-Леоне;6396;121;0;6275
Гвинея-Бисау;6119;141;0;5978
Нигер;6115;204;0;5911
Либерия;5801;286;0;5515
Гибралтар;5655;97;0;5558
Гренада;5653;183;0;5470
Бермудские о-ва;5501;89;0;5412
Сан-Марино;5470;91;0;5379
Чад;5061;174;0;4887
Новая Зеландия;4705;28;0;4677
Синт-Мартен;4403;69;0;4334
Коморы;4166;147;0;4019
Сент-Винсент и Гренадины;4096;38;0;4058
Доминика;4020;26;0;3994
Сен-Мартен;3819;55;0;3764
Антигуа и Барбуда;3750;93;0;3657
Сан-Томе и Принсипи;3629;56;0;3573
Лихтенштейн;3567;60;0;3507
Монако;3336;35;0;3301
о-ва Тёркс и Кайкос;2898;23;0;2875
Виргинские о-ва ;2725;37;0;2688
Бутан;2613;3;0;2610
Сент-Китс и Невис;2412;19;0;2393
Сен-Бартелеми;1649;6;0;1643
Фарерские о-ва;1301;2;0;1299
Острова Кайман;983;2;0;981
Лайнер «Даймонд Принсесс»;712;13;0;699
Гренландия;623;0;0;623
Ангилья;594;1;0;593
Фолклендские о-ва;68;0;0;68
Монтсеррат;41;1;0;40
Сен-Пьер и Микелон;32;0;0;32
Ватикан;27;0;0;27
Соломоновы Острова;20;0;0;20
Палау;5;0;0;5
Вануату;4;1;0;3
Маршалловы Острова;4;0;0;4
Самоа;3;0;0;3
Кирибати;2;0;0;2
Федеративные Штаты Микронезии;1;0;0;1
Всего;238417612;4862245;6894285;226661082
